timestamp,solar_generation,wind_generation,demand,total_generation,source_file
2024-03-02 18:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-03-02 19:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-03-02 20:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-03-02 21:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-03-02 22:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-03-02 23:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 00:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 01:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 02:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 03:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 04:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 05:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 06:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 07:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 08:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 09:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 10:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 11:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 12:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 13:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 14:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 15:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 16:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 17:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 18:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 19:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 20:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 21:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-04-02 22:00:00,0,0,0,0,January 2024- June 2025.xlsx
